"PROPOSAL_ID","THREADNAME_USERS","EXECUTION_NUMBER","ELAPSED_MS_PER_EXEC","LATENCY_MS_PER_EXEC","IDLETIME_MS_PER_EXEC"
29,Single_Click_Operation_Proposal_29 29-2,2,38,38,0
29,Single_Click_Operation_Proposal_29 29-2,3,33,33,0
29,Single_Click_Operation_Proposal_29 29-3,1,32,32,0
29,Single_Click_Operation_Proposal_29 29-3,2,32,32,0
29,Single_Click_Operation_Proposal_29 29-3,3,37,37,0
30,Single_Click_Operation_Proposal_30 30-1,1,35,35,0
30,Single_Click_Operation_Proposal_30 30-1,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-1,3,31,31,0
30,Single_Click_Operation_Proposal_30 30-2,1,31,31,0
30,Single_Click_Operation_Proposal_30 30-2,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-2,3,32,32,0
30,Single_Click_Operation_Proposal_30 30-3,1,34,34,0
30,Single_Click_Operation_Proposal_30 30-3,2,32,32,0
30,Single_Click_Operation_Proposal_30 30-3,3,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,1,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,2,33,33,0
31,Single_Click_Operation_Proposal_31 31-1,3,32,32,0
31,Single_Click_Operation_Proposal_31 31-2,1,30,30,0
31,Single_Click_Operation_Proposal_31 31-2,2,29,29,0
31,Single_Click_Operation_Proposal_31 31-2,3,30,30,0
31,Single_Click_Operation_Proposal_31 31-3,1,32,32,0
31,Single_Click_Operation_Proposal_31 31-3,2,32,32,0
31,Single_Click_Operation_Proposal_31 31-3,3,31,30,0
32,Single_Click_Operation_Proposal_32 32-1,1,31,30,0
32,Single_Click_Operation_Proposal_32 32-1,2,33,33,0
32,Single_Click_Operation_Proposal_32 32-1,3,36,36,0
32,Single_Click_Operation_Proposal_32 32-2,1,33,33,0
32,Single_Click_Operation_Proposal_32 32-2,2,35,35,0
32,Single_Click_Operation_Proposal_32 32-2,3,36,36,0
32,Single_Click_Operation_Proposal_32 32-3,1,32,32,0
32,Single_Click_Operation_Proposal_32 32-3,2,35,35,0
32,Single_Click_Operation_Proposal_32 32-3,3,42,42,0
33,Single_Click_Operation_Proposal_33 33-1,1,33,33,0
33,Single_Click_Operation_Proposal_33 33-1,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-1,3,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,1,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-2,3,29,29,0
33,Single_Click_Operation_Proposal_33 33-3,1,31,31,0
33,Single_Click_Operation_Proposal_33 33-3,2,31,31,0
33,Single_Click_Operation_Proposal_33 33-3,3,31,31,0
34,Single_Click_Operation_Proposal_34 34-1,1,31,31,0
34,Single_Click_Operation_Proposal_34 34-1,2,33,33,0
34,Single_Click_Operation_Proposal_34 34-1,3,32,32,0
34,Single_Click_Operation_Proposal_34 34-2,1,30,30,0
34,Single_Click_Operation_Proposal_34 34-2,2,31,31,0
34,Single_Click_Operation_Proposal_34 34-2,3,31,31,0
34,Single_Click_Operation_Proposal_34 34-3,1,30,30,0
34,Single_Click_Operation_Proposal_34 34-3,2,31,31,0
34,Single_Click_Operation_Proposal_34 34-3,3,29,29,0
35,Single_Click_Operation_Proposal_35 35-1,1,29,29,0
35,Single_Click_Operation_Proposal_35 35-1,2,34,34,0
35,Single_Click_Operation_Proposal_35 35-1,3,31,31,0
35,Single_Click_Operation_Proposal_35 35-2,1,31,31,0
35,Single_Click_Operation_Proposal_35 35-2,2,34,34,0
35,Single_Click_Operation_Proposal_35 35-2,3,45,45,0
35,Single_Click_Operation_Proposal_35 35-3,1,34,34,0
35,Single_Click_Operation_Proposal_35 35-3,2,37,37,0
35,Single_Click_Operation_Proposal_35 35-3,3,31,31,0
36,Single_Click_Operation_Proposal_36 36-1,1,31,31,0
36,Single_Click_Operation_Proposal_36 36-1,2,30,30,0
36,Single_Click_Operation_Proposal_36 36-1,3,33,33,0
36,Single_Click_Operation_Proposal_36 36-2,1,32,32,0
36,Single_Click_Operation_Proposal_36 36-2,2,34,34,0
36,Single_Click_Operation_Proposal_36 36-2,3,36,36,0
36,Single_Click_Operation_Proposal_36 36-3,1,32,32,0
36,Single_Click_Operation_Proposal_36 36-3,2,31,31,0
36,Single_Click_Operation_Proposal_36 36-3,3,30,30,0
37,Single_Click_Operation_Proposal_37 37-1,1,31,31,0
37,Single_Click_Operation_Proposal_37 37-1,2,31,30,0
37,Single_Click_Operation_Proposal_37 37-1,3,32,32,0
37,Single_Click_Operation_Proposal_37 37-2,1,32,32,0
37,Single_Click_Operation_Proposal_37 37-2,2,31,31,0
37,Single_Click_Operation_Proposal_37 37-2,3,30,30,0
37,Single_Click_Operation_Proposal_37 37-3,1,31,31,0
37,Single_Click_Operation_Proposal_37 37-3,2,33,33,0
37,Single_Click_Operation_Proposal_37 37-3,3,32,32,0
38,Single_Click_Operation_Proposal_38 38-1,1,31,31,0
38,Single_Click_Operation_Proposal_38 38-1,2,31,31,0
38,Single_Click_Operation_Proposal_38 38-1,3,31,31,0
38,Single_Click_Operation_Proposal_38 38-2,1,30,30,0
38,Single_Click_Operation_Proposal_38 38-2,2,31,31,0
38,Single_Click_Operation_Proposal_38 38-2,3,29,29,0
38,Single_Click_Operation_Proposal_38 38-3,1,32,32,0
38,Single_Click_Operation_Proposal_38 38-3,2,33,33,0
38,Single_Click_Operation_Proposal_38 38-3,3,36,36,0
39,Single_Click_Operation_Proposal_39 39-1,1,31,31,0
39,Single_Click_Operation_Proposal_39 39-1,2,32,32,0
39,Single_Click_Operation_Proposal_39 39-1,3,30,30,0
39,Single_Click_Operation_Proposal_39 39-2,1,29,29,0
39,Single_Click_Operation_Proposal_39 39-2,2,30,30,0
